img_name,redness_index,red_pixels_nb
2018_F_p58_10.tif,28.53373148301339,9839
2018_F_p58_2.tif,50.377218460520695,17516
2018_F_p58_3.tif,8.137293516592859,2947
2018_F_p58_4.tif,62.36403026328341,21932
2018_F_p58_5.tif,41.12394706580241,14901
2018_F_p58_6.tif,26.419669698683524,9792
2018_F_p58_7.tif,28.176333549107124,10206
2018_F_p58_8.tif,61.732460100955336,21630
2018_F_p58_9.tif,83.41829000498869,28876
2018_F_p59_1.tif,25.724614709395567,8677
2018_F_p59_10.tif,79.96410282980956,27266
2018_F_p59_2.tif,62.99049466714101,22481
2018_F_p59_3.tif,44.435982067092475,15342
2018_F_p59_4.tif,27.191342517773737,9323
2018_F_p59_5.tif,19.93933021693012,7117
2018_F_p59_6.tif,38.24394548506142,12794
2018_F_p59_7.tif,40.073692987199685,13614
2018_F_p59_8.tif,45.85830776584706,16351
2018_F_p59_9.tif,24.576324773877168,7991
2018_F_p60_1.tif,22.134776132574324,7848
2018_F_p60_10.tif,50.13284230594842,17817
2018_F_p60_2.tif,55.4140332010189,19349
2018_F_p60_3.tif,21.231143037197423,7250
2018_F_p60_4.tif,17.682153269085184,6351
2018_F_p60_5.tif,91.8768455089062,32513
2018_F_p60_6.tif,16.875943326998122,6194
2018_F_p60_7.tif,43.38277729463178,14568
2018_F_p60_8.tif,34.191552400909956,11973
2018_F_p60_9.tif,45.01012641784284,15952
2018_G_p81_1.tif,16.09131680531117,6100
2018_G_p81_10.tif,50.12296860139746,18045
2018_G_p81_2.tif,58.12775671044967,20872
2018_G_p81_3.tif,45.83971495665557,17006
2018_G_p81_4.tif,97.21546405942851,34840
2018_G_p81_5.tif,227.369396355965,74664
2018_G_p81_6.tif,31.440970271632676,11493
2018_G_p81_7.tif,94.6090230530415,33463
2018_G_p81_8.tif,18.181466698719163,6728
2018_G_p81_9.tif,36.19427176923487,12862
2018_G_p82_1.tif,11.423062949449351,4111
2018_G_p82_10.tif,14.462107221484473,5350
2018_G_p82_2.tif,148.14072683069193,51500
2018_G_p82_3.tif,45.559447279898116,16635
2018_G_p82_4.tif,22.320401967724965,8426
2018_G_p82_5.tif,38.98283831039229,14456
2018_G_p82_6.tif,36.67597291127379,12023
2018_G_p82_7.tif,39.809466811603166,14791
2018_G_p82_8.tif,41.27420769516795,13731
2018_G_p82_9.tif,40.34411539953171,14950
2018_G_p83_1.tif,36.55185679498349,13029
2018_G_p83_10.tif,20.364037880756747,7496
2018_G_p83_2.tif,85.23308822884668,29382
2018_G_p83_3.tif,12.71020788600727,4576
2018_G_p83_4.tif,33.48831813333332,11359
2018_G_p83_5.tif,37.42055675055546,13089
2018_G_p83_6.tif,13.929591063100524,5081
2018_G_p83_7.tif,37.568075693259956,13819
2018_G_p83_8.tif,8.722636441395434,3239
2018_G_p83_9.tif,29.032409057475572,10646
2018_G_p84_1.tif,8.043509667230769,2577
2018_G_p84_10.tif,21.698574213194263,7222
2018_G_p84_2.tif,8.900179024570734,2969
2018_G_p84_3.tif,5.180768961336878,1615
2018_G_p84_4.tif,8.719711301118519,2820
2018_G_p84_5.tif,28.83817695328524,10175
2018_G_p84_6.tif,21.89343630563449,7865
2018_G_p84_7.tif,12.971257772501092,4486
2018_G_p84_8.tif,14.706870671181845,5293
2018_G_p84_9.tif,86.32834038682124,30431
2018_G_p85_1.tif,24.375618458666708,8674
2018_G_p85_10.tif,13.613758155719962,4509
2018_G_p85_2.tif,24.48474753363522,8342
2018_G_p85_3.tif,9.957173528378412,3196
2018_G_p85_4.tif,5.6952656926010565,1880
2018_G_p85_5.tif,15.95217251177109,6042
2018_G_p85_6.tif,23.229927241403537,8759
2018_G_p85_7.tif,14.046540466205549,5226
2018_G_p85_8.tif,11.923573616480086,3883
2018_G_p85_9.tif,11.976799558447688,4382
2018_G_p86_1.tif,21.429332870657046,7617
2018_G_p86_10.tif,6.279629335395167,2219
2018_G_p86_2.tif,12.919644128409933,4574
2018_G_p86_3.tif,8.768883128267651,3242
2018_G_p86_4.tif,4.105102766086896,1597
2018_G_p86_5.tif,9.199156106188264,3155
2018_G_p86_6.tif,21.265097857076057,7122
2018_G_p86_7.tif,5.004830820845835,1734
2018_G_p86_8.tif,2.170674384908091,794
2018_G_p86_9.tif,14.177675081790655,4887
2018_G_p87_1.tif,57.92342259879796,20469
2018_G_p87_10.tif,40.430588366427635,14475
2018_G_p87_2.tif,47.61845783180514,16544
2018_G_p87_3.tif,131.06089731905772,43742
2018_G_p87_4.tif,63.74122799162605,23074
2018_G_p87_5.tif,25.916734457777974,9225
2018_G_p87_6.tif,70.61037133936023,23636
2018_G_p87_7.tif,9.551826822035046,3289
2018_G_p87_8.tif,24.49939239126131,8441
2018_G_p87_9.tif,29.192091958632364,10035
2018_G_p88_1.tif,103.9751182351152,36886
2018_G_p88_10.tif,26.160128981593218,9731
2018_G_p88_2.tif,61.45602557502681,21484
2018_G_p88_3.tif,8.677996568591835,3129
2018_G_p88_4.tif,62.23190678403476,22820
2018_G_p88_5.tif,15.722912399928953,5753
2018_G_p88_6.tif,46.08165973909438,16461
2018_G_p88_7.tif,32.59930969189867,12118
2018_G_p88_8.tif,141.85167855458036,47966
2018_G_p88_9.tif,53.382558786926296,17672
2018_G_p89_1.tif,11.618439826166503,3799
2018_G_p89_10.tif,5.541264912538843,1946
2018_G_p89_2.tif,10.816107125796794,3548
2018_G_p89_3.tif,3.908945162090791,1381
2018_G_p89_4.tif,31.38245687495138,10585
2018_G_p89_5.tif,20.90575546470936,7123
2018_G_p89_6.tif,17.826263948884165,6118
2018_G_p89_7.tif,10.704437417404955,3572
2018_G_p89_8.tif,10.599879372425946,3768
2018_G_p89_9.tif,12.049923413357325,4190
2018_G_p90_1.tif,31.673347922519945,11060
2018_G_p90_10.tif,11.634654315028436,4144
2018_G_p90_2.tif,10.76167402502892,3633
2018_G_p90_3.tif,28.53088342335199,9453
2018_G_p90_4.tif,10.213856027415945,3526
2018_G_p90_5.tif,10.087640379824531,3332
2018_G_p90_6.tif,6.440443063066532,2183
2018_G_p90_7.tif,25.94376591450616,8606
2018_G_p90_8.tif,84.18077067228495,28777
2018_G_p90_9.tif,11.977082103532302,4257
2019_B_L_A1_1.tif,29.232767666102937,7076
2019_B_L_A1_10.tif,25.29530200581826,5962
2019_B_L_A1_2.tif,6.423210838630855,1375
2019_B_L_A1_3.tif,23.43929533978868,5317
2019_B_L_A1_4.tif,12.05810446510918,2827
2019_B_L_A1_5.tif,14.160108464404754,3441
2019_B_L_A1_6.tif,21.68789138181973,5087
2019_B_L_A1_7.tif,13.079932593556657,3175
2019_B_L_A1_8.tif,19.87614068474258,4478
